11001,45009
11003,11001
11005,11003
11007,11005
11008,11007
11009,11008
41007,11009
41008,41007
41009,41008
12001,41009
12003,12001
12005,12003
12007,12005
12008,12007
12009,12008
42007,12009
42008,42007
42009,42008
13001,42009
13003,13001
13005,13003
13002,13005
13004,13002
13006,13004
13007,13006
13008,13007
13009,13008
43007,13009
43008,43007
43009,43008
63007,43009
63008,63007
63009,63008
14001,63009
14003,14001
14005,14003
14002,14005
14004,14002
14006,14004
15007,14006
15008,15007
15009,15008
45007,15009
45008,45007
45009,45008
