#Sample Neighbour List
#Region [ARM,SJH,KPR] to hopefully avoid any cellid collisions
#Strategy [Peak,Normal] marker to set strategy per cell as list is read if not inline
#CellID, Longitude, Latitude,Azimuth,CellType
Region SJH
Strategy Normal
#Test2
11001,170.147,-45.023,60,G9
11003,170.147,-45.023,180,G9
11005,170.147,-45.023,300,G9
11007,170.147,-45.023,60,U21F1
11008,170.147,-45.023,180,U21F1
11009,170.147,-45.023,300,U21F1
41007,170.147,-45.023,60,U21F2
41008,170.147,-45.023,180,U21F2
41009,170.147,-45.023,300,U21F2
#Test1 Far-away (Omakau)
12001,169.600,-45.094,60,G9
12003,169.600,-45.094,180,G9
12005,169.600,-45.094,300,G9
12007,169.600,-45.094,60,U21F1
12008,169.600,-45.094,180,U21F1
12009,169.600,-45.094,300,U21F1
42007,169.600,-45.094,60,U21F2
42008,169.600,-45.094,180,U21F2
42009,169.600,-45.094,300,U21F2
#Full
13001,169.741,-44.998,60,G9
13003,169.741,-44.998,180,G9
13005,169.741,-44.998,300,G9
13002,169.741,-44.998,60,G18
13004,169.741,-44.998,180,G18
13006,169.741,-44.998,300,G18
13007,169.741,-44.998,60,U21F1
13008,169.741,-44.998,180,U21F1
13009,169.741,-44.998,300,U21F1
43007,169.741,-44.998,60,U21F2
43008,169.741,-44.998,180,U21F2
43009,169.741,-44.998,300,U21F2
63007,169.741,-44.998,60,U21F3
63008,169.741,-44.998,180,U21F3
63009,169.741,-44.998,300,U21F3
#Change to Peak Strategy
Strategy Peak
#GSMx2 only - SB
14001,169.811,-44.872,60,G9
14003,169.811,-44.872,180,G9
14005,169.811,-44.872,300,G9
14002,169.811,-44.872,60,G18
14004,169.811,-44.872,180,G18
14006,169.811,-44.872,300,G18
#No GSM, auto add
15007,169.914,-45.006,60,U21F1
15008,169.914,-45.006,180,U21F1
15009,169.914,-45.006,300,U21F1
45007,169.914,-45.006,60,U21F2
45008,169.914,-45.006,180,U21F2
45009,169.914,-45.006,300,U21F2
